N,분석 종류,대상,내용,Tag,Tag2
1,기초 정보,음절 ,수,char,Cnt
2,기초 정보,형태소 ,수,morph,Cnt
3,기초 정보,어절 ,수,word,Cnt
4,기초 정보,문장 ,수,sentence,Cnt
5,기초 정보,문단 ,수,para,Cnt
6,기초 정보,실질 형태소 ,수,CL,Cnt
7,기초 정보,형식 형태소 ,수,FL,Cnt
8,기초 정보,체언 ,수,NL,Cnt
9,기초 정보,명사 ,수,NL,Cnt
10,기초 정보,일반명사 ,수,NNG,Cnt
11,기초 정보,고유명사 ,수,NNP,Cnt
12,기초 정보,의존명사 ,수,NNB,Cnt
13,기초 정보,대명사 ,수,NP,Cnt
14,기초 정보,인칭대명사 ,수,NP_People,Cnt
15,기초 정보,지시대명사 ,수,NP_Things,Cnt
16,기초 정보,수사 ,수,NR,Cnt
17,기초 정보,용언 ,수,VL,Cnt
18,기초 정보,동사 ,수,VV,Cnt
19,기초 정보,형용사 ,수,VA,Cnt
20,기초 정보,보조용언 ,수,VX,Cnt
21,기초 정보,긍정 지정사 (서술격조사) ,수,VCP,Cnt
22,기초 정보,부정 지정사 ,수,VCN,Cnt
23,기초 정보,식언 ,수,ML,Cnt
24,기초 정보,관형사 ,수,MM,Cnt
25,기초 정보,부사 ,수,MA,Cnt
26,기초 정보,관계언 (조사) ,수,J,Cnt
27,기초 정보,어미 ,수,E,Cnt
28,기초 정보,접사 ,수,X,Cnt
29,기초 정보,독립언 ,수,IC,Cnt
30,어휘 밀도,실질 형태소 밀도,실질 형태소 토큰/전체 형태소 토큰 (CLD),CL,Den
31,어휘 밀도,형식 형태소 밀도,형식 형태소 토큰/전체 형태소 토큰 (FLD),FL,Den
32,어휘 밀도,체언 밀도,체언 토큰/전체 형태소 (NLD),NL,Den
33,어휘 밀도,체언 실질 밀도,체언 토큰/실질 형태소 (NCLD),NCL,Den
34,어휘 밀도,명사 밀도,명사 토큰/전체 형태소 (NNLD),NNL,Den
35,어휘 밀도,명사 실질 밀도,명사 토큰/실질 형태소 (NNCLD),NNCL,Den
36,어휘 밀도,일반명사 밀도,일반명사 토큰/전체 형태소 (NNGLD),NNGL,Den
37,어휘 밀도,일반명사 실질 밀도,일반명사 토큰/실질 형태소 (NNGCLD),NNGCL,Den
38,어휘 밀도,고유명사 밀도,고유명사 토큰/전체 형태소 (NNPLD),NNPL,Den
39,어휘 밀도,고유명사 실질 밀도,고유명사 토큰/실질 형태소 (NNPCLD),NNPCL,Den
40,어휘 밀도,의존명사 밀도,의존명사 토큰/전체 형태소 (NNBLD),NNBL,Den
41,어휘 밀도,의존명사 실질 밀도,의존명사 토큰/실질 형태소 (NNBCLD),NNBCL,Den
42,어휘 밀도,대명사 밀도,대명사 토큰/전체 형태소 (NPLD),NPL,Den
43,어휘 밀도,대명사 실질 밀도,대명사 토큰/실질 형태소 (NPCLD),NPCL,Den
44,어휘 밀도,수사 밀도,수사 토큰/전체 형태소 (NMLD),NML,Den
45,어휘 밀도,수사 실질 밀도,수사 토큰/실질 형태소 (NMCLD),NMCL,Den
46,어휘 밀도,용언 밀도,용언 토큰/전체 형태소 (VLD),VL,Den
47,어휘 밀도,용언 실질 밀도,용언 토큰/실질 형태소 (VCLD),VCL,Den
48,어휘 밀도,동사 밀도,동사 토큰/전체 형태소 (VVLD),VVL,Den
49,어휘 밀도,동사 실질 밀도,동사 토큰/실질 형태소 (VVCLD),VVCL,Den
50,어휘 밀도,형용사 밀도,형용사 토큰/전체 형태소 (VALD),VAL,Den
51,어휘 밀도,형용사 실질 밀도,형용사 토큰/실질 형태소 (VACLD),VACL,Den
52,어휘 밀도,수식언 밀도,수식언 토큰/전체 형태소 (MLD),ML,Den
53,어휘 밀도,수식언 실질 밀도,수식언 토큰/실질 형태소 (MCLD),MCL,Den
54,어휘 밀도,관형사 밀도,관형사 토큰/전체 형태소 (MMLD),MML,Den
55,어휘 밀도,관형사 실질 밀도,관형사 토큰/실질 형태소 (MMCLD),MMCL,Den
56,어휘 밀도,부사 밀도,부사 토큰/전체 형태소 (MALD),MAL,Den
