feature,mean,scale
lemma_Cnt,293.21749014852986,123.65134014893256
lemma_TTR,0.4297168767419903,0.06542217173167937
CL_TTR,0.5640124748001223,0.08286833727530835
NL_TTR,0.5555706066667849,0.10275005717738664
NN_TTR,0.5590853186687957,0.10653267595800357
NNG_TTR,0.5882705921848589,0.11606819395540714
NNP_TTR,0.3727146525824812,0.4352936875000099
NNB_TTR,0.4824852058522162,0.20972550806371731
NP_TTR,0.5903380638439432,0.2856556233374708
NR_TTR,0.2729355890200083,0.430643486506454
VL_TTR,0.5430606203163952,0.09498354171233223
VV_TTR,0.6377065122006426,0.12366684147341178
VA_TTR,0.6219291065324031,0.17132439083051462
ML_TTR,0.7928494477553643,0.15065512029687542
MM_TTR,0.0,1.0
MA_TTR,0.7928494477553643,0.15065512029687542
MAJ_TTR,0.651208780776961,0.3835579832457276
IC_TTR,0.053314318900481376,0.22228982079596804
FL_TTR,0.31774349727412454,0.07807808427815566
J_TTR,0.2925807175707703,0.09078954840278317
E_TTR,0.3739029267282826,0.09204692948235242
X_TTR,0.4727551994812773,0.2960800203729765
lemma_RTTR,7.262670287266927,1.1428726597104775
CL_RTTR,6.823481824511897,1.4507944498329515
NL_RTTR,4.764921404365274,1.292876796479359
NN_RTTR,4.58457728266992,1.3022879091633353
NNG_RTTR,4.341662307935736,1.290731609290011
NNP_RTTR,0.618268887393263,0.762220447870637
NNB_RTTR,1.43141507040251,0.4533699415777298
NP_RTTR,1.2146213949284959,0.4750135678261115
NR_RTTR,0.3369444827537633,0.5462776917092443
VL_RTTR,4.213521475796966,0.9031377260094609
VV_RTTR,3.5988516022439208,0.9489583709019022
VA_RTTR,2.262845063816219,0.595221477122759
ML_RTTR,2.645988227350381,0.6780981682647118
MM_RTTR,0.0,1.0
MA_RTTR,2.645988227350381,0.6780981682647118
MAJ_RTTR,0.9303020597217169,0.5352117788913535
IC_RTTR,0.05875055535904629,0.24891005853028228
FL_RTTR,3.435856983723532,0.40507455852576135
J_RTTR,2.0253790125743785,0.30381793950373315
E_RTTR,2.9396896433319344,0.43957617793184406
X_RTTR,1.0140131911314543,0.46336534862297285
lemma_CTTR,5.135483409648427,0.8081330077139847
CL_CTTR,4.8249302694155345,1.0258665935846862
NL_CTTR,3.3693082368476697,0.9142019500292983
NN_CTTR,3.241785685449744,0.9208566116266443
NNG_CTTR,3.070018859563422,0.9126850736207907
NNP_CTTR,0.4371821228724414,0.5389712474483739
NNB_CTTR,1.0121633029742034,0.3205809600757635
NP_CTTR,0.858867024928195,0.3358853149654589
NR_CTTR,0.23825572863859099,0.38627666021853785
VL_CTTR,2.979409608211234,0.6386148104066874
VV_CTTR,2.5447723724308204,0.6710148991284793
VA_CTTR,1.60007308939894,0.42088514278137723
ML_CTTR,1.8709962184990174,0.4794878130901571
MM_CTTR,0.0,1.0
MA_CTTR,1.8709962184990174,0.4794878130901571
MAJ_CTTR,0.6578228949809602,0.37845187822502535
IC_CTTR,0.041542916092855584,0.17600599029230307
FL_CTTR,2.429517772378047,0.28643096721971223
J_CTTR,1.4321592342642997,0.2148317252692146
E_CTTR,2.0786744813838878,0.3108272962636729
X_CTTR,0.7170156036616189,0.3276487801781835
lemma_MSTTR,0.7470187346798971,0.04593319278969614
CL_MSTTR,0.7222069285672506,0.07337760291209455
NL_MSTTR,0.6141353601009256,0.10739949338392477
NN_MSTTR,0.6073985672375984,0.11129490511451139
NNG_MSTTR,0.6149111004378384,0.11952346505919755
NNP_MSTTR,0.37272422914776077,0.43529244616320445
NNB_MSTTR,0.4825037182774247,0.2097043480844636
NP_MSTTR,0.5903426410647911,0.2856490579396261
NR_MSTTR,0.2729355890200083,0.430643486506454
VL_MSTTR,0.5848644199867399,0.09233739218604849
VV_MSTTR,0.6409386052797961,0.12332361674754026
VA_MSTTR,0.6219693029575184,0.17128788639006043
ML_MSTTR,0.7928688810708346,0.150639790717435
MM_MSTTR,0.0,1.0
MA_MSTTR,0.7928688810708346,0.150639790717435
MAJ_MSTTR,0.651208780776961,0.3835579832457276
IC_MSTTR,0.053314318900481376,0.22228982079596804
FL_MSTTR,0.49767165900391563,0.05315653825089303
J_MSTTR,0.32699166577788535,0.07032791935093756
E_MSTTR,0.43634757234921023,0.07088850000641765
X_MSTTR,0.47276181256264765,0.29607327520730997
lemma_MATTR,0.7487507423858942,0.04396011319476336
CL_MATTR,0.7261183026562358,0.07085210332157568
NL_MATTR,0.6173673479673144,0.10661479060504506
NN_MATTR,0.6101857390919591,0.11083703089852799
NNG_MATTR,0.6186873658399202,0.11917857649591905
NNP_MATTR,0.3727213245101049,0.43529460454359725
NNB_MATTR,0.4824996280955422,0.209707962902846
NP_MATTR,0.5903410408476144,0.2856511080600623
NR_MATTR,0.2729355890200083,0.430643486506454
VL_MATTR,0.5869108442589707,0.09003908583518302
VV_MATTR,0.6410488995185867,0.1230657794069318
VA_MATTR,0.6219680551752338,0.171291085096842
ML_MATTR,0.7928727593489058,0.15063295829784448
MM_MATTR,0.0,1.0
MA_MATTR,0.7928727593489058,0.15063295829784448
MAJ_MATTR,0.651208780776961,0.3835579832457276
IC_MATTR,0.053314318900481376,0.22228982079596804
FL_MATTR,0.5011067939516065,0.050523810198315235
J_MATTR,0.32744382419112417,0.06926406560801412
E_MATTR,0.43856412981737536,0.06853271739595193
X_MATTR,0.4727610300211988,0.29607406165474015
lemma_MTLD,57.420286955970546,12.765309659159879
CL_MTLD,54.35509084339771,26.15491260698697
NL_MTLD,28.695511468263184,18.513505641657463
NN_MTLD,27.066166177370032,18.19510105000177
NNG_MTLD,26.65018279079754,20.159098710694863
NNP_MTLD,1.2270466761216023,4.042163380583836
NNB_MTLD,6.321737714885086,3.4619849428825926
NP_MTLD,3.3852528708025957,3.1647153685376144
NR_MTLD,0.12188673217244511,0.667184171565038
VL_MTLD,22.54583405630054,10.135720393024414
VV_MTLD,22.852709258353663,16.632003413688427
VA_MTLD,10.953738613493202,6.697483010909441
ML_MTLD,15.494598712521176,14.355702209661718
MM_MTLD,0.0,1.0
MA_MTLD,15.494598712521176,14.355702209661718
MAJ_MTLD,0.9370818048159019,1.5591623976697457
IC_MTLD,0.014730605042609764,0.3198369007551087
FL_MTLD,20.183285286634483,3.6892437765186266
J_MTLD,10.912929333551952,1.4275335590969738
E_MTLD,15.087249174627692,3.2712972459661196
X_MTLD,3.4835363642650194,3.091511820880377
lemma_VOCDD,60.94998802720302,15.08198492975519
CL_VOCDD,62.797874887395274,30.084606349392125
NL_VOCDD,26.995356986947293,26.431170212177992
NN_VOCDD,24.121603230815907,26.299349646927162
NNG_VOCDD,20.040138021972606,28.28113816934777
NNP_VOCDD,0.0025479812049627403,0.1550610858557645
NNB_VOCDD,0.001093148904144614,0.0581575875027661
NP_VOCDD,8.789244928404213e-05,0.010459615666521318
NR_VOCDD,0.0,1.0
VL_VOCDD,16.33298360223335,15.070551222664484
VV_VOCDD,4.514064947406696,14.0966688011591
VA_VOCDD,0.016698332598076508,0.6543196683381284
ML_VOCDD,0.027229835271189905,1.2232565929824422
MM_VOCDD,0.0,1.0
MA_VOCDD,0.027229835271189905,1.2232565929824422
MAJ_VOCDD,0.0,1.0
IC_VOCDD,0.0,1.0
FL_VOCDD,14.059308315290647,4.219959396699446
J_VOCDD,1.9976252850996432,1.9603707739006275
E_VOCDD,6.5797318250346075,4.823787957175478
X_VOCDD,0.00035929554213986716,0.02298442087085953
lemma_HDD,0.7809765529046099,0.036980699086804326
CL_HDD,0.7714051334479901,0.06564351699007206
NL_HDD,0.5702237390205568,0.24529710725545184
NN_HDD,0.5276126128439449,0.2745991515119149
NNG_HDD,0.4390484382625793,0.3250369148508072
NNP_HDD,0.0004539499715840815,0.014684586888930401
NNB_HDD,0.00023882040504114696,0.008370940841388631
NP_HDD,4.1229030286296245e-05,0.002821506332333284
NR_HDD,0.0,1.0
VL_HDD,0.4878164405648383,0.26267895655266954
VV_HDD,0.18895030721996198,0.30003183869769545
VA_HDD,0.002171004725585902,0.032307683422732124
ML_HDD,0.001162218198007591,0.027609267966078273
MM_HDD,0.0,1.0
MA_HDD,0.001162218198007591,0.027609267966078273
MAJ_HDD,0.0,1.0
IC_HDD,0.0,1.0
FL_HDD,0.5449593785040716,0.05828266091524941
J_HDD,0.22583702147231227,0.15895840759575797
E_HDD,0.38588730707429725,0.1851728848255474
X_HDD,0.00012204454461156258,0.004944707829309244
avgSentSimilarity,0.1921165568403099,0.10420238971494118
topicConsistency,0.5845955062140014,0.08348271743057194
adjacent_sentence_overlap_all_lemmas,222.52177427503284,103.69822988577582
adjacent_sentence_overlap_all_lemmas_normed,10.600737597251692,5.029244722328311
binary_adjacent_sentence_overlap_all_lemmas,10.495781549964637,4.923724293195143
adjacent_two_sentence_overlap_all_lemmas,169.6022784682227,88.97617261141157
adjacent_two_sentence_overlap_all_lemmas_normed,9.599626149338183,5.025709577389018
