nohup: ignoring input
[2024-03-04 16:21:03 +0000] [61969] [INFO] Starting gunicorn 21.2.0
[2024-03-04 16:21:03 +0000] [61969] [INFO] Listening at: http://0.0.0.0:8000 (61969)
[2024-03-04 16:21:03 +0000] [61969] [INFO] Using worker: uvicorn.workers.UvicornWorker
[2024-03-04 16:21:03 +0000] [61971] [INFO] Booting worker with pid: 61971
[2024-03-04 16:21:03 +0000] [61972] [INFO] Booting worker with pid: 61972
[2024-03-04 16:21:32 +0000] [61971] [INFO] Started server process [61971]
[2024-03-04 16:21:32 +0000] [61971] [INFO] Waiting for application startup.
[2024-03-04 16:21:32 +0000] [61971] [INFO] Application startup complete.
[2024-03-04 16:21:32 +0000] [61972] [INFO] Started server process [61972]
[2024-03-04 16:21:32 +0000] [61972] [INFO] Waiting for application startup.
[2024-03-04 16:21:32 +0000] [61972] [INFO] Application startup complete.
[2024-03-04 22:09:40 +0000] [61972] [WARNING] Invalid HTTP request received.
[2024-03-05 00:26:43 +0000] [61971] [WARNING] Invalid HTTP request received.
[2024-03-05 00:47:28 +0000] [61971] [WARNING] Invalid HTTP request received.
[2024-03-05 00:52:26 +0000] [61971] [WARNING] Invalid HTTP request received.
[2024-03-05 00:52:26 +0000] [61972] [WARNING] Invalid HTTP request received.
[2024-03-05 00:52:26 +0000] [61972] [WARNING] Invalid HTTP request received.
[2024-03-05 00:52:26 +0000] [61971] [WARNING] Invalid HTTP request received.
[2024-03-05 00:52:26 +0000] [61972] [WARNING] Invalid HTTP request received.
[2024-03-05 00:52:26 +0000] [61972] [WARNING] Invalid HTTP request received.
[2024-03-05 00:52:26 +0000] [61972] [WARNING] Invalid HTTP request received.
[2024-03-05 00:52:40 +0000] [61972] [WARNING] Invalid HTTP request received.
[2024-03-05 00:52:40 +0000] [61972] [WARNING] Invalid HTTP request received.
[2024-03-05 00:52:40 +0000] [61972] [WARNING] Invalid HTTP request received.
[2024-03-05 00:52:40 +0000] [61972] [WARNING] Invalid HTTP request received.
[2024-03-05 00:52:40 +0000] [61972] [WARNING] Invalid HTTP request received.
[2024-03-05 00:52:40 +0000] [61972] [WARNING] Invalid HTTP request received.
[2024-03-05 00:52:40 +0000] [61972] [WARNING] Invalid HTTP request received.
[2024-03-05 00:56:26 +0000] [61971] [WARNING] Invalid HTTP request received.
[2024-03-05 00:56:26 +0000] [61972] [WARNING] Invalid HTTP request received.
[2024-03-05 00:56:26 +0000] [61972] [WARNING] Invalid HTTP request received.
[2024-03-05 00:56:26 +0000] [61971] [WARNING] Invalid HTTP request received.
[2024-03-05 00:56:26 +0000] [61972] [WARNING] Invalid HTTP request received.
[2024-03-05 00:56:26 +0000] [61972] [WARNING] Invalid HTTP request received.
[2024-03-05 00:56:26 +0000] [61972] [WARNING] Invalid HTTP request received.
[2024-03-05 00:56:26 +0000] [61972] [WARNING] Invalid HTTP request received.
[2024-03-05 00:56:26 +0000] [61972] [WARNING] Invalid HTTP request received.
[2024-03-05 00:56:26 +0000] [61972] [WARNING] Invalid HTTP request received.
[2024-03-05 00:56:26 +0000] [61972] [WARNING] Invalid HTTP request received.
[2024-03-05 00:56:26 +0000] [61972] [WARNING] Invalid HTTP request received.
[2024-03-05 00:56:26 +0000] [61972] [WARNING] Invalid HTTP request received.
[2024-03-05 00:56:26 +0000] [61972] [WARNING] Invalid HTTP request received.
[2024-03-05 11:08:28 +0000] [61972] [WARNING] Invalid HTTP request received.
[2024-03-05 11:33:44 +0000] [61971] [WARNING] Invalid HTTP request received.
[2024-03-05 11:33:45 +0000] [61972] [WARNING] Invalid HTTP request received.
[2024-03-05 11:33:46 +0000] [61972] [WARNING] Invalid HTTP request received.
[2024-03-05 13:08:00 +0000] [61972] [WARNING] Invalid HTTP request received.
[2024-03-05 20:43:56 +0000] [61972] [WARNING] Invalid HTTP request received.
[2024-03-05 21:07:55 +0000] [61972] [WARNING] Invalid HTTP request received.
[2024-03-06 04:18:25 +0000] [61972] [WARNING] Invalid HTTP request received.
[2024-03-06 04:21:03 +0000] [61972] [WARNING] Invalid HTTP request received.
[2024-03-06 09:54:17 +0000] [61972] [WARNING] Invalid HTTP request received.
[2024-03-06 14:31:40 +0000] [61972] [WARNING] Invalid HTTP request received.
[2024-03-07 03:48:38 +0000] [61972] [WARNING] Invalid HTTP request received.
[2024-03-07 03:48:39 +0000] [61972] [WARNING] Invalid HTTP request received.
[2024-03-07 03:48:39 +0000] [61972] [WARNING] Invalid HTTP request received.
[2024-03-07 03:48:40 +0000] [61972] [WARNING] Invalid HTTP request received.
[2024-03-07 03:48:40 +0000] [61972] [WARNING] Invalid HTTP request received.
[2024-03-07 03:48:41 +0000] [61972] [WARNING] Invalid HTTP request received.
[2024-03-07 03:48:41 +0000] [61972] [WARNING] Invalid HTTP request received.
[2024-03-07 12:39:48 +0000] [61971] [WARNING] Invalid HTTP request received.
[2024-03-07 12:39:49 +0000] [61971] [WARNING] Invalid HTTP request received.
[2024-03-07 12:39:49 +0000] [61972] [WARNING] Invalid HTTP request received.
[2024-03-07 12:39:50 +0000] [61972] [WARNING] Invalid HTTP request received.
[2024-03-07 12:39:50 +0000] [61972] [WARNING] Invalid HTTP request received.
